ID,CID,NOME
UNIDADE_1,0160,SÃO PAULO
UNIDADE_2,0552,EMPRESARIAL CIVIT
UNIDADE_3,0609,VALORES
UNIDADE_4,0674,LINHARES
UNIDADE_5,0675,SETOR PUBLICO
UNIDADE_6,0677,AG. DIGITAL
UNIDADE_7,0012,BELA AURORA
UNIDADE_8,0036,IBES
UNIDADE_9,0042,ITAPOÃ
UNIDADE_10,0044,JARDIM CAMBURI
UNIDADE_11,0051,MARUÍPE
UNIDADE_12,0055,NOVA ALMEIDA
UNIDADE_13,0059,LARANJEIRAS
UNIDADE_14,0066,PORTO CANOA
UNIDADE_15,0076,PRAIA DO SUÁ
UNIDADE_16,0082,SANTO ANTONIO
UNIDADE_17,0083,JARDIM PENHA
UNIDADE_18,0084,ESPLANADA
UNIDADE_19,0087,ITACIBÁ
UNIDADE_20,0089,SÃO TORQUATO
UNIDADE_21,0090,JACARAÍPE
UNIDADE_22,0091,VILA VELHA
UNIDADE_23,0092,VIANA
UNIDADE_24,0099,CEASA
UNIDADE_25,0100,CARIACICA
UNIDADE_26,0101,GLÓRIA
UNIDADE_27,0102,JARDIM AMÉRICA
UNIDADE_28,0103,MOSCOSO
UNIDADE_29,0104,CENTRAL
UNIDADE_30,0105,CAMPO GRANDE
UNIDADE_31,0106,JUCUTUQUARA
UNIDADE_32,0107,JARDIM LIMOEIRO
UNIDADE_33,0108,PRAIA DO CANTO
UNIDADE_34,0109,SANTA LEOPOLDINA
UNIDADE_35,0110,SERRA
UNIDADE_36,0132,STA. MARIA JETIBÁ
UNIDADE_37,0148,IBIRAÇU
UNIDADE_38,0158,STA. TERESA
UNIDADE_39,0166,FUNDÃO
UNIDADE_40,0173,JOÃO NEIVA
UNIDADE_41,0183,COBILÁNDIA
UNIDADE_42,0184,GOIABEIRAS
UNIDADE_43,0205,PLANALTO CARAPINA
UNIDADE_44,0208,ITAPARICA
UNIDADE_45,0236,BENTO FERREIRA
UNIDADE_46,0268,FEU ROSA
UNIDADE_47,0271,TRIBUNAL DE JUSTIÇA
UNIDADE_48,0274,RETA DA PENHA
UNIDADE_49,0276,SÃO PEDRO
UNIDADE_50,0526,TERRA VERMELHA
UNIDADE_51,0632,SHOPPING VILA VELHA
UNIDADE_52,0003,SÃO DOMINGOS NORTE
UNIDADE_53,0034,GOV. LINDEMBERG
UNIDADE_54,0035,GUARANÁ
UNIDADE_55,0043,JACUPEMBA
UNIDADE_56,0065,PONTO BELO
UNIDADE_57,0111,ARACRUZ
UNIDADE_58,0112,BAIXO GUANDU
UNIDADE_59,0113,BARRA SÃO FRANCISCO
UNIDADE_60,0117,COLATINA
UNIDADE_61,0118,CONCEIÇÃO DA BARRA
UNIDADE_62,0120,ECOPORANGA
UNIDADE_63,0122,ITARANA
UNIDADE_64,0124,LINHARES
UNIDADE_65,0126,MONTANHA
UNIDADE_66,0129,NOVA VENECIA
UNIDADE_67,0130,PINHEIROS
UNIDADE_68,0133,SÃO GABRIEL PALHA
UNIDADE_69,0135,SÃO MATEUS
UNIDADE_70,0136,SÃO SILVANO
UNIDADE_71,0141,MANTENÓPOLIS
UNIDADE_72,0142,PANCAS
UNIDADE_73,0145,BOA ESPERANÇA
UNIDADE_74,0150,ITAGUAÇU
UNIDADE_75,0151,MARILANDIA
UNIDADE_76,0152,PEDRO CANÁRIO
UNIDADE_77,0155,MUCURICI
UNIDADE_78,0159,RIO BANANAL
UNIDADE_79,0165,COQUEIRAL
UNIDADE_80,0170,VILA VALÉRIO
UNIDADE_81,0176,JAGUARÉ
UNIDADE_82,0180,AGUIA BRANCA
UNIDADE_83,0181,JUPARANÃ
UNIDADE_84,0182,AGUA DOCE DO NORTE
UNIDADE_85,0185,ALTO RIO NOVO
UNIDADE_86,0186,LARANJA DA TERRA
UNIDADE_87,0188,SÃO ROQUE DO CANAÃ
UNIDADE_88,0197,BRAÇO DO RIO
UNIDADE_89,0201,VILA PAVÃO
UNIDADE_90,0222,BARRA DO RIACHO
UNIDADE_91,0278,SOORETAMA
UNIDADE_92,0553,BOA VISTA
UNIDADE_93,0606,GURIRI
UNIDADE_94,0010,BNH
UNIDADE_95,0038,IRUPI
UNIDADE_96,0049,MARECHAL FLORIANO
UNIDADE_97,0054,MUQUIÇABA
UNIDADE_98,0062,PEDRA AZUL
UNIDADE_99,0114,BOM JESUS DO NORTE
UNIDADE_100,0115,CACHOEIRO ITAPEMIRIM
UNIDADE_101,0116,CASTELO
UNIDADE_102,0119,DOMINGOS MARTINS
UNIDADE_103,0121,GUACUI
UNIDADE_104,0123,IUNA
UNIDADE_105,0125,MIMOSO DO SUL
UNIDADE_106,0127,MUNIZ FREIRE
UNIDADE_107,0128,MUQUI
UNIDADE_108,0134,SÃO JOSE DO CALÇADO
UNIDADE_109,0137,AFONSO CLAUDIO
UNIDADE_110,0138,ALEGRE
UNIDADE_111,0139,ALFREDO CHAVES
UNIDADE_112,0140,JERONIMO MONTEIRO
UNIDADE_113,0143,APIACA
UNIDADE_114,0144,ATILIO VIVACQUA
UNIDADE_115,0146,CONCEIÇÃO CASTELO
UNIDADE_116,0147,BERNARDO HORTA
UNIDADE_117,0149,ICONHA
UNIDADE_118,0153,PIUMA
UNIDADE_119,0156,ANCHIETA
UNIDADE_120,0157,MARATAÍZES
UNIDADE_121,0161,RIO NOVO DO SUL
UNIDADE_122,0162,PRESIDENTE KENNEDY
UNIDADE_123,0164,IBATIBA
UNIDADE_124,0167,IBITIRAMA
UNIDADE_125,0168,DORES RIO PRETO
UNIDADE_126,0169,DIVINO SÃO LOURENÇO
UNIDADE_127,0174,GUARAPARI
UNIDADE_128,0177,VENDA NOVA IMIGRANTE
UNIDADE_129,0187,VARGEM ALTA
UNIDADE_130,0199,ITAPEMIRIM
UNIDADE_131,0279,BREJETUBA
UNIDADE_132,0001,AGENCIA BIZI
UNIDADE_133,0683,AG DE NEG RIO PRETO
UNIDADE_134,0685,VALORES VILA VELHA
UNIDADE_135,0601,EMPRESARIAL CAMPO GRANDE
UNIDADE_136,0674,EMPRESARIAL NORTE
UNIDADE_137,0635,MARCÍLIO DE NORONHA
